D_ID,CURRENCY,CHARGE_VALUE
389855163,USD,1364
390002484,USD,43
390002484,USD,4406
390002484,USD,42
390002484,USD,216
390002484,USD,-436
390002484,USD,471
390002484,USD,29
385838210,USD,624
385838210,USD,-596
385838210,USD,189
385838210,USD,4602
385864909,USD,4620
385864909,USD,204
385864909,USD,-560
385864909,USD,618
388837264,USD,4224
388837264,USD,225
388837264,USD,511
388837264,USD,-481
390072741,USD,148
390072741,USD,1088
388055505,USD,4244
388055505,USD,361
390040525,USD,270
388055505,USD,523
388055505,USD,-498
390040525,USD,0
390040525,USD,63
390040525,USD,542
390040525,USD,-485
390040525,USD,214
390040525,USD,4250
390004305,USD,43
390004305,USD,31
390004305,USD,456
390004305,USD,-408
390004305,USD,224
390004305,USD,32
390004305,USD,4337
388834380,USD,591
388834380,USD,-548
388834380,USD,200
388834380,USD,4505
390074692,USD,973
390074692,USD,276
390028552,USD,53
390028552,USD,452
390028552,USD,-425
390028552,USD,182
390028552,USD,45
390028552,USD,4548
390028552,USD,8
390164147,USD,42
380247561,USD,27
390164147,USD,12
390164147,USD,3878
390164147,USD,130
390164147,USD,28
390164147,USD,262
380247561,USD,199
380247561,USD,-143
390164147,USD,46
390164147,USD,-452
390164147,USD,513
390164147,USD,507
380247561,USD,87
380247561,USD,25
380247561,USD,1190
380247561,USD,46
380247561,USD,61
380247561,USD,227
380247561,USD,117
388834379,USD,585
388834379,USD,-506
388834379,USD,209
388834379,USD,4468
388055539,USD,4458
388055539,USD,362
388055539,USD,-505
388055539,USD,528
389855164,USD,158
389855164,USD,-72
389855164,USD,56
389855164,USD,1180
389855164,USD,51
388055296,USD,4247
388055296,USD,388
388055296,USD,-457
388055296,USD,544
390010023,USD,13
390010023,USD,484
390010023,USD,-404
390010023,USD,34
390010023,USD,205
390010023,USD,3942
390010023,USD,58
390004298,USD,3
390004298,USD,4995
390004298,USD,26
390004298,USD,274
390004298,USD,1750
390004298,USD,60
390004298,USD,-376
390004298,USD,427
388813754,USD,438
388813754,USD,-417
388813754,USD,137
388813754,USD,3420
390030656,USD,33
390030656,USD,281
390030656,USD,3437
390030656,USD,7
390030656,USD,-338
390030656,USD,37
390030656,USD,411
380246572,USD,50
380246572,USD,187
380246572,USD,-169
380246572,USD,149
380246572,USD,88
380246572,USD,56
380246572,USD,38
380246572,USD,1216
380246572,USD,37
390009741,USD,-364
390009741,USD,405
390009741,USD,33
390009741,USD,127
390009741,USD,43
390009741,USD,4005
390009741,USD,2
390005523,USD,298
390005523,USD,2607
390005523,USD,10
390005523,USD,18
390005523,USD,430
390005523,USD,-346
390005523,USD,87
390005523,USD,1707
390005523,USD,240
388813746,USD,-484
388813746,USD,165
388813746,USD,4627
388813746,USD,501
390002255,USD,23
390002255,USD,51
390002255,USD,501
390002255,USD,-422
390002255,USD,182
390002255,USD,4578
389848669,USD,21
389848669,USD,210
389848669,USD,-177
389848669,USD,77
389848669,USD,1273
390038222,USD,318
390038222,USD,-262
390038222,USD,401
390038222,USD,39
390038222,USD,651
390038222,USD,52
389857084,USD,934
389857084,USD,90
389857084,USD,-126
389857084,USD,208
389857084,USD,62
388813247,USD,414
388813247,USD,-364
388813247,USD,120
388813247,USD,3371
385833442,USD,4157
385833442,USD,501
385833442,USD,-500
385833442,USD,194
388817594,USD,7012
388817594,USD,275
388817594,USD,559
388817594,USD,-506
389857179,USD,98
389857179,USD,1287
389857179,USD,-140
389857179,USD,45
389857179,USD,177
390002555,USD,10
390002555,USD,503
390002555,USD,-433
390002555,USD,189
390002555,USD,52
390002555,USD,121
390002555,USD,4884
388814464,USD,582
388814464,USD,-520
388814464,USD,183
388814464,USD,4486
390088202,USD,185
390088202,USD,870
388810492,USD,4548
388810492,USD,250
388810492,USD,-592
388810492,USD,587
388818100,USD,-509
388818100,USD,266
388818100,USD,7376
388818100,USD,547
388836566,USD,394
388836566,USD,-325
388836566,USD,130
388836566,USD,3640
390011224,USD,42
390011224,USD,418
390011224,USD,-363
390011224,USD,124
390011224,USD,36
390011224,USD,3474
390011224,USD,18
388825944,USD,444
388825944,USD,-367
388825944,USD,193
388825944,USD,3849
380264606,USD,55
380264606,USD,490
380264606,USD,254
380264606,USD,44
380264606,USD,54
380264606,USD,762
380264606,USD,70
390002122,USD,24
390002122,USD,-1
390002122,USD,4449
390002122,USD,192
390002122,USD,21
390002122,USD,492
390002122,USD,-444
388809976,USD,4475
389850177,USD,964
389850177,USD,63
389850177,USD,-127
389850177,USD,210
389850177,USD,36
389848629,USD,940
389848629,USD,80
389848629,USD,-181
389848629,USD,221
389848629,USD,26
390004292,USD,173
390004292,USD,-451
390004292,USD,491
388814563,USD,-580
388814563,USD,631
388814563,USD,219
390004292,USD,250
388814563,USD,4551
390004292,USD,4423
390009889,USD,314
390009889,USD,-260
390009889,USD,233
390009889,USD,41
390009889,USD,782
390009889,USD,46
388809976,USD,533
388809976,USD,-474
388809976,USD,209
380234264,USD,23
380234264,USD,1505
380234264,USD,122
380234264,USD,16
380234264,USD,221
380234264,USD,59
380234264,USD,88
380234264,USD,62
390000789,USD,15
390000789,USD,2606
390000789,USD,134
390000789,USD,46
390000789,USD,193
390000789,USD,1737
390000789,USD,80
390000789,USD,-366
390000789,USD,380
380264270,USD,450
380264270,USD,538
380264270,USD,19
380264270,USD,16
380264270,USD,906
380264270,USD,112
380264270,USD,38
389854969,USD,1425
389854969,USD,98
389854969,USD,405
389854969,USD,32
388814431,USD,4275
388814431,USD,202
388814431,USD,-493
388814431,USD,505
388828468,USD,3644
388828468,USD,232
388828468,USD,-469
388828468,USD,512
388810013,USD,240
388810013,USD,-492
388810013,USD,4542
388818679,USD,5241
388818679,USD,381
388818679,USD,-459
388818679,USD,538
390009409,USD,44
390009409,USD,136
390009409,USD,-107
390009409,USD,208
390009409,USD,631
390009409,USD,35
388810013,USD,567
390170857,USD,-434
390170857,USD,460
390170857,USD,446
390170857,USD,67
390170857,USD,44
390170857,USD,130
390170857,USD,40
390170857,USD,3074
390170857,USD,44
385851075,USD,122
385851075,USD,653
390141032,USD,472
390141032,USD,272
388810054,USD,3927
388810054,USD,476
388810054,USD,-424
388810054,USD,108
390072347,USD,1281
390072347,USD,151
385869047,USD,650
385869047,USD,-579
385869047,USD,170
385869047,USD,4619
390038793,USD,58
390038793,USD,196
390038793,USD,473
390038793,USD,-415
390038793,USD,36
390038793,USD,4297
390038793,USD,13
388810680,USD,4461
388810680,USD,240
390026153,USD,43
390026153,USD,286
390026153,USD,495
390026153,USD,-463
390026153,USD,292
390026153,USD,4285
390026153,USD,10
388810680,USD,-493
388810680,USD,507
390040526,USD,272
390040526,USD,8
390040526,USD,519
390040526,USD,-505
390040526,USD,190
390040526,USD,4250
390040526,USD,28
390094786,USD,1562
390094786,USD,180
388817787,USD,-486
388810677,USD,4537
388817787,USD,230
388810677,USD,273
388817787,USD,3548
388810677,USD,-516
388810677,USD,539
388817787,USD,513
380246499,USD,33
380246499,USD,204
380246499,USD,-180
380246499,USD,149
380246499,USD,1230
380246499,USD,31
380246499,USD,94
380246499,USD,241
380246499,USD,119
380246499,USD,58
390002257,USD,495
390002257,USD,-457
390002257,USD,123
390002257,USD,188
390002257,USD,4424
390040528,USD,15
390040528,USD,467
390040528,USD,-446
390040528,USD,57
390040528,USD,189
390040528,USD,4506
390040528,USD,56
385852579,USD,257
385852579,USD,948
385838146,USD,517
385838146,USD,-495
385838146,USD,167
385838146,USD,4145
390002733,USD,59
390002733,USD,-293
390002733,USD,331
390002733,USD,15
390002733,USD,152
390002733,USD,3129
390002733,USD,11
390002818,USD,24
390002818,USD,433
390002818,USD,-390
390002818,USD,214
390002818,USD,4317
390011215,USD,-213
390011215,USD,3527
390011215,USD,143
390011215,USD,97
390011215,USD,275
390033088,USD,469
390033088,USD,27
390033088,USD,-407
390033088,USD,58
390033088,USD,278
390033088,USD,4511
390033088,USD,61
388828326,USD,476
388828326,USD,-407
388828326,USD,234
388828326,USD,3662
390009919,USD,191
390009919,USD,-146
390009919,USD,240
388810006,USD,165
390009919,USD,28
390009919,USD,827
390009919,USD,45
388810006,USD,438
388810006,USD,-407
388810006,USD,3620
390172954,USD,43
390172954,USD,3041
390172954,USD,42
390172954,USD,140
390172954,USD,25
390172954,USD,33
390172954,USD,462
390172954,USD,435
390172954,USD,-388
389855577,USD,58
389855577,USD,257
389855577,USD,115
389855577,USD,1618
388810685,USD,3396
388810685,USD,143
388810685,USD,-413
388810685,USD,446
389850440,USD,36
389850440,USD,211
389850440,USD,-144
389850440,USD,108
389850440,USD,775
388828325,USD,4704
388828325,USD,236
388828325,USD,-465
388828325,USD,538
390132628,USD,467
390132628,USD,278
389855014,USD,1695
389855014,USD,110
389855014,USD,52
389855014,USD,206
389855014,USD,-172
388834390,USD,3530
388834390,USD,165
388834390,USD,-381
388834390,USD,428
388818867,USD,591
388818867,USD,-541
388818867,USD,394
388818867,USD,4477
389852550,USD,23
389852550,USD,161
389852550,USD,-90
389852550,USD,73
389852550,USD,550
390010005,USD,4551
390010005,USD,18
390010005,USD,191
390010005,USD,23
390010005,USD,-444
390010005,USD,452
389850417,USD,35
389850417,USD,199
389850417,USD,-141
389850417,USD,604
389850417,USD,75
388837265,USD,503
388837265,USD,-455
388837265,USD,226
388837265,USD,4233
388834563,USD,4477
388834563,USD,158
388834563,USD,-544
388834563,USD,546
390026154,USD,-456
390026154,USD,263
390026154,USD,28
390026154,USD,527
390026154,USD,256
390026154,USD,4246
390026154,USD,37
388813239,USD,484
388813239,USD,-491
388813239,USD,202
388813239,USD,4652
390141033,USD,384
390141033,USD,200
390002806,USD,4839
388815730,USD,-447
388815730,USD,485
388815730,USD,190
388815730,USD,4447
390002806,USD,17
390002806,USD,23
390002806,USD,165
390002806,USD,-421
390002806,USD,486
389857114,USD,870
389857114,USD,84
389857114,USD,-181
389857114,USD,183
389857114,USD,9
389854909,USD,-155
389854909,USD,35
389854909,USD,228
389854909,USD,104
389854909,USD,1339
390035234,USD,55
390035234,USD,162
390035234,USD,404
390035234,USD,27
390035234,USD,3524
390035234,USD,47
390035234,USD,210
390035234,USD,-364
390033092,USD,33
390033092,USD,2
390033092,USD,4515
390033092,USD,167
390033092,USD,50
390033092,USD,267
390033092,USD,-406
390033092,USD,487
388825950,USD,3231
388825950,USD,226
388825950,USD,-427
388825950,USD,457
389848732,USD,1174
389848732,USD,100
389848732,USD,233
389848732,USD,61
390001559,USD,4442
390001559,USD,251
390001559,USD,121
390001559,USD,-428
390001559,USD,456
390150816,USD,508
390150816,USD,489
390150816,USD,-462
390150816,USD,81
390150816,USD,24
390150816,USD,178
390150816,USD,22
390150816,USD,3893
390150816,USD,42
385898004,USD,193
385898004,USD,382
390027548,USD,4532
390027548,USD,45
390027548,USD,485
390027548,USD,-444
390027548,USD,200
390027548,USD,12
390027548,USD,30
390029878,USD,52
390029878,USD,-339
390029878,USD,365
388834212,USD,4244
388834212,USD,209
388834212,USD,-501
388834212,USD,550
390029878,USD,62
390029878,USD,21
390029878,USD,3464
390029878,USD,186
385844971,USD,486
385844971,USD,-418
385844971,USD,226
385844971,USD,4163
390038212,USD,280
390038212,USD,-272
390038212,USD,411
390038212,USD,77
390038212,USD,691
390038212,USD,19
380264605,USD,67
380264605,USD,929
380264605,USD,119
380264605,USD,65
380264605,USD,438
380264605,USD,484
380264605,USD,52
388809979,USD,562
388809979,USD,-539
388809979,USD,250
388809979,USD,4529
390040123,USD,23
390040123,USD,3600
390040123,USD,128
390040123,USD,-375
390040123,USD,384
390040123,USD,13
389854962,USD,48
389854962,USD,190
389854962,USD,53
389854962,USD,1298
390040123,USD,53
389848753,USD,51
389848753,USD,229
389848753,USD,88
389848753,USD,1211
390088129,USD,160
390088129,USD,707
388808844,USD,536
388808844,USD,-459
388808844,USD,153
388808844,USD,4631
388818680,USD,400
388818680,USD,-362
388818680,USD,268
388818680,USD,4173
388810908,USD,431
388810908,USD,-356
388810908,USD,141
388810908,USD,3431
388837708,USD,163
388837708,USD,4453
388837708,USD,-503
388837708,USD,577
388055071,USD,4448
389854937,USD,93
389854937,USD,-154
389854937,USD,1413
390025224,USD,52
390025224,USD,25
390025224,USD,498
390025224,USD,-430
390025224,USD,271
390025224,USD,180
390025224,USD,4506
390025224,USD,59
389854937,USD,206
389854937,USD,31
390001569,USD,4316
390001569,USD,301
390001569,USD,-403
390001569,USD,437
390001569,USD,56
390002561,USD,4400
390002561,USD,93
390002561,USD,198
390002561,USD,-417
390002561,USD,426
390002561,USD,23
388055071,USD,380
380247566,USD,70
380247566,USD,40
380247566,USD,109
380247566,USD,1273
380247566,USD,41
380247566,USD,81
380247566,USD,-124
380247566,USD,137
380247566,USD,61
390131205,USD,276
390131205,USD,842
388837293,USD,557
388837293,USD,-496
388837293,USD,169
388837293,USD,4540
389854960,USD,45
389854960,USD,276
389854960,USD,1422
389854960,USD,76
388814472,USD,444
388814472,USD,-426
388814472,USD,140
388814472,USD,3548
388055071,USD,521
388055071,USD,-488
388813747,USD,-443
388813747,USD,155
388813747,USD,4491
388813747,USD,488
389852244,USD,52
389852244,USD,220
389852244,USD,-145
389852244,USD,68
389852244,USD,877
390010892,USD,-3
390010892,USD,2095
390010892,USD,234
390010892,USD,59
390010892,USD,164
390010892,USD,1375
390010892,USD,72
390010892,USD,-257
390010892,USD,289
388837219,USD,546
388837219,USD,-491
388837219,USD,187
388837219,USD,4240
390002731,USD,-382
390002731,USD,57
390002731,USD,3925
390002731,USD,230
390002731,USD,48
390002731,USD,412
390002731,USD,42
390037693,USD,27
390037693,USD,652
390037693,USD,47
390037693,USD,427
390037693,USD,422
390030654,USD,52
390030654,USD,4539
390073882,USD,862
390073882,USD,184
390009373,USD,40
390009373,USD,194
390009373,USD,205
390009373,USD,37
390009373,USD,734
390074033,USD,1054
390074033,USD,319
385864907,USD,4598
385864907,USD,213
385864907,USD,-600
385864907,USD,642
388055295,USD,375
388055295,USD,534
388055295,USD,-475
388055295,USD,4437
390005557,USD,206
390005557,USD,-136
390005557,USD,213
390005557,USD,62
390005557,USD,689
390005557,USD,40
388818784,USD,526
388818784,USD,-509
388818784,USD,398
388818784,USD,4549
390010008,USD,457
390010008,USD,4402
390010008,USD,168
390010008,USD,129
390010008,USD,-434
388809980,USD,146
388809980,USD,3211
388809980,USD,-446
388809980,USD,465
389857086,USD,807
389857086,USD,29
389857086,USD,-86
389857086,USD,125
389857086,USD,14
389857081,USD,45
389857081,USD,186
389857081,USD,-187
389857081,USD,116
389857081,USD,970
388813748,USD,3550
388813748,USD,116
388813748,USD,-448
388813748,USD,514
390035235,USD,15
390035235,USD,4511
390035235,USD,253
390035235,USD,74
390035235,USD,-435
390035235,USD,473
390035235,USD,25
390134595,USD,226
390134595,USD,559
390001227,USD,29
390001227,USD,225
390001227,USD,212
390001227,USD,3927
390001227,USD,48
390001227,USD,-418
390001227,USD,47
390001227,USD,478
380246498,USD,1228
380246498,USD,28
380246498,USD,178
380246498,USD,-157
380246498,USD,169
380246498,USD,102
380246498,USD,101
380246498,USD,31
380246498,USD,39
380246518,USD,114
380246518,USD,90
380246518,USD,15
380246518,USD,1199
380246518,USD,43
389885202,USD,185
389885202,USD,37
389885202,USD,109
389885202,USD,678
390002715,USD,784
390002715,USD,236
390002715,USD,396
389850836,USD,30
389850836,USD,167
389850836,USD,-86
389850836,USD,53
389850836,USD,872
385838142,USD,616
385838142,USD,-564
385838142,USD,210
385838142,USD,4602
380234646,USD,49
380234646,USD,188
380234646,USD,-161
380234646,USD,161
380234646,USD,105
380234646,USD,72
380234646,USD,51
380234646,USD,1779
380234646,USD,50
380234648,USD,36
380234648,USD,178
380234648,USD,-140
380234648,USD,116
380234648,USD,78
380234648,USD,93
380234648,USD,50
390009907,USD,-132
380234648,USD,1773
390009907,USD,176
380234648,USD,51
390009907,USD,241
390009907,USD,43
390009907,USD,689
390009907,USD,90
390004076,USD,4867
390004076,USD,12
390004076,USD,392
390004076,USD,-431
390004076,USD,472
390004076,USD,25
390150815,USD,60
390150815,USD,21
390150815,USD,4150
390150815,USD,14
390150815,USD,202
390150815,USD,7
390150815,USD,-471
390150815,USD,477
390150815,USD,469
390030654,USD,490
390030654,USD,11
390030654,USD,-453
390030654,USD,400
390030654,USD,43
390009916,USD,9
390009916,USD,776
390009916,USD,45
390009916,USD,225
390009916,USD,-126
390009916,USD,217
388808849,USD,442
388808849,USD,-400
388808849,USD,198
388808849,USD,3387
388818111,USD,3433
388818111,USD,225
388818111,USD,-361
388818111,USD,396
390028107,USD,420
390028107,USD,56
390028107,USD,153
390028107,USD,51
390028107,USD,3517
390028107,USD,144
390028107,USD,-322
389857279,USD,14
389857279,USD,270
389857279,USD,75
389857279,USD,1222
385865948,USD,599
385865948,USD,-567
385865948,USD,212
385865948,USD,4578
389885198,USD,522
389885198,USD,192
389885198,USD,137
389885198,USD,270
388817785,USD,518
388828324,USD,4822
388828324,USD,249
388828324,USD,-474
388828324,USD,547
388817785,USD,-476
388817785,USD,4648
388817785,USD,249
385853167,USD,256
385853167,USD,928
388818476,USD,515
388818476,USD,-501
388818476,USD,366
388818476,USD,5232
388814928,USD,-412
390035240,USD,45
390035240,USD,3599
390035240,USD,140
388814928,USD,418
390035240,USD,13
388814928,USD,159
388814928,USD,3415
390035240,USD,23
390035240,USD,187
390035240,USD,-327
390035240,USD,386
390009918,USD,46
390009918,USD,692
390009918,USD,57
390009918,USD,245
390009918,USD,-96
390009918,USD,144
388837711,USD,181
388837711,USD,515
388837711,USD,-457
388837711,USD,4639
390033085,USD,37
390033085,USD,4278
390033085,USD,108
390033085,USD,278
390033085,USD,-505
390033085,USD,508
390033085,USD,30
390033085,USD,272
385834113,USD,4622
385834113,USD,636
385834113,USD,-580
385834113,USD,269
388814430,USD,222
388814430,USD,505
388814430,USD,-503
388814430,USD,4450
388836576,USD,536
388836576,USD,-494
388836576,USD,191
388836576,USD,4467
388825970,USD,3835
388825970,USD,194
388825970,USD,-408
388825970,USD,418
388834611,USD,212
388834611,USD,-504
388834611,USD,537
388834611,USD,4243
388825969,USD,587
388825969,USD,-511
388825969,USD,224
388825969,USD,4786
388834608,USD,4528
388834608,USD,186
388834608,USD,-511
388834608,USD,535
385838046,USD,-554
385838046,USD,4500
385838046,USD,206
385838046,USD,624
380246643,USD,57
380246643,USD,1206
380246643,USD,70
380246643,USD,58
380246643,USD,47
380246643,USD,196
380246643,USD,-154
380246643,USD,166
380246643,USD,97
380246643,USD,247
388810019,USD,507
388810019,USD,-503
388810019,USD,259
388810019,USD,4210
390003154,USD,58
390003154,USD,381
390003154,USD,-335
390003154,USD,138
390003154,USD,18
385844480,USD,-465
390003154,USD,3480
390003154,USD,38
385844480,USD,526
385844480,USD,205
385844480,USD,4063
388818787,USD,541
388818787,USD,-487
388818787,USD,384
388818787,USD,5238
390004084,USD,39
390004084,USD,297
390004084,USD,-217
390004084,USD,65
390004084,USD,1547
390004084,USD,233
390004084,USD,28
390004084,USD,4022
389854913,USD,-127
389854913,USD,93
389854913,USD,1366
389854913,USD,172
389854913,USD,62
389849084,USD,26
389849084,USD,798
389849084,USD,66
389849084,USD,-94
389849084,USD,116
390009934,USD,4
390009934,USD,278
390009934,USD,227
390009934,USD,87
390009934,USD,585
389850449,USD,798
389850449,USD,63
389850449,USD,-158
389850449,USD,163
389850449,USD,46
390156116,USD,487
390156116,USD,49
390156116,USD,3856
390156116,USD,24
390156116,USD,185
390156116,USD,34
390156116,USD,57
390156116,USD,-430
390156116,USD,488
390027087,USD,7
390027087,USD,52
390027087,USD,497
390027087,USD,-411
390027087,USD,209
390027087,USD,64
390027087,USD,4624
385838999,USD,124
385838999,USD,-460
385838999,USD,498
385838999,USD,4142
390001558,USD,60
390001558,USD,3647
390001558,USD,142
390001558,USD,-347
390001558,USD,356
390001558,USD,41
390074069,USD,869
390074069,USD,216
389857278,USD,51
389857278,USD,224
389857278,USD,99
389857278,USD,1185
388825972,USD,-446
388825972,USD,255
388825972,USD,4457
388825972,USD,508
388818872,USD,-523
388818872,USD,4547
388818872,USD,395
388818872,USD,536
380246672,USD,204
380246672,USD,28
388817780,USD,-551
388817780,USD,249
388817780,USD,4748
388817780,USD,548
390073821,USD,247
390073821,USD,962
390038795,USD,56
390038795,USD,493
390038795,USD,-452
390038795,USD,186
390038795,USD,26
390038795,USD,4517
390038795,USD,26
385844969,USD,607
385844969,USD,-570
385844969,USD,245
385844969,USD,4597
390026158,USD,63
390003156,USD,8
390003156,USD,3914
390003156,USD,257
390003156,USD,171
390026158,USD,374
390026158,USD,-349
390026158,USD,38
390026158,USD,169
390026158,USD,3441
390026158,USD,6
390003156,USD,21
390003156,USD,-404
390003156,USD,456
390003156,USD,15
390011227,USD,41
390011227,USD,413
390011227,USD,-321
390011227,USD,16
390011227,USD,139
390011227,USD,138
390011227,USD,3166
390011227,USD,22
385853169,USD,187
385853169,USD,785
390227811,USD,632
390227811,USD,433
390227811,USD,261
388825942,USD,557
388825942,USD,-505
388825942,USD,270
388825942,USD,4764
389885240,USD,54
389885240,USD,207
389885240,USD,65
389885240,USD,153
390009891,USD,44
390009891,USD,161
390009891,USD,-122
390009891,USD,236
390009891,USD,681
390009891,USD,21
389850418,USD,20
389850418,USD,121
389850418,USD,-114
389850418,USD,35
389850418,USD,522
389851086,USD,24
389851086,USD,224
389851086,USD,92
389851086,USD,676
390038797,USD,115
390038797,USD,-374
390038797,USD,373
390038797,USD,59
390038797,USD,22
390038797,USD,3620
390038797,USD,41
388055294,USD,3540
388055294,USD,509
388055294,USD,-455
388055294,USD,304
388814920,USD,529
388814920,USD,-497
388814920,USD,191
388814920,USD,4543
390072346,USD,217
388810728,USD,564
388810728,USD,-519
388810728,USD,287
388810728,USD,4526
390088128,USD,195
390088128,USD,851
390072346,USD,1562
390001570,USD,8
390001570,USD,335
390001570,USD,-318
390001570,USD,145
390001570,USD,3488
380234178,USD,40
380234178,USD,194
380234178,USD,-129
380234178,USD,163
380234178,USD,96
380234178,USD,87
380234178,USD,47
380234178,USD,1756
380234178,USD,54
390002266,USD,4316
390002266,USD,172
390002266,USD,9
390002266,USD,451
390002266,USD,-407
390004093,USD,32
390004093,USD,3166
390004093,USD,277
390004093,USD,29
390004093,USD,-339
390004093,USD,383
390004093,USD,12
388813721,USD,533
388813721,USD,-488
388813721,USD,174
388813721,USD,4239
390001061,USD,228
390001061,USD,20
390001061,USD,4431
390001061,USD,25
390001061,USD,32
390001061,USD,470
390001061,USD,-418
390009895,USD,309
390009895,USD,201
390009895,USD,16
390009895,USD,645
390009895,USD,92
390009895,USD,-223
390009905,USD,263
390009905,USD,-230
390009905,USD,205
390009905,USD,62
390009905,USD,664
390009905,USD,19
389857018,USD,921
389857018,USD,112
389857018,USD,-175
389857018,USD,196
389857018,USD,10
388834564,USD,592
388834564,USD,-544
388834564,USD,194
388834564,USD,4503
389850421,USD,487
389850421,USD,74
389850421,USD,-126
389850421,USD,120
389850421,USD,35
388814744,USD,197
388814744,USD,-468
388814744,USD,533
388814744,USD,4219
385867568,USD,230
385867568,USD,865
388814567,USD,4286
388814567,USD,185
388814567,USD,-505
388814567,USD,501
388814555,USD,555
388814555,USD,-522
388814555,USD,202
388814555,USD,4500
389855015,USD,190
389855015,USD,1680
389855015,USD,90
389855015,USD,-166
389855015,USD,24
390027547,USD,461
390027547,USD,14
390027547,USD,-429
390027547,USD,206
390027547,USD,64
390027547,USD,4522
390027547,USD,19
388810493,USD,4547
388810493,USD,239
388810493,USD,-544
388810493,USD,611
388810670,USD,3650
388810670,USD,136
388810670,USD,-408
388810670,USD,443
386629883,USD,278
386629883,USD,1141
